Year,Rd,Pk,Tm,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2018,2,46,HOU,De'Anthony Melton,G,University of Southern California,47,19.5,4.8,2.6,3.2,1.4,0.5,.380,.304,.727,0.0,.000
2018,2,47,LAL,Sviatoslav Mykhailiuk,G-F,University of Kansas,42,10.5,3.2,0.9,0.9,0.3,0.0,.329,.326,.600,-0.1,-0.013
2018,2,48,MIN,Keita Bates-Diop,F,Ohio State University,26,16.0,4.8,2.5,0.5,0.5,0.5,.422,.256,.625,0.3,.037
2018,2,49,SAS,Chimezie Metu,F,University of Southern California,29,5.0,1.8,1.2,0.4,0.2,0.1,.328,.000,.765,-0.3,-0.101
2018,2,50,IND,Alize Johnson,F,Missouri State,12,3.0,0.5,0.7,0.0,0.0,0.1,.200,.500,.250,-0.1,-0.088
2018,2,51,NOP,Tony Carr,G,Pennsylvania State University,,,,,,,,,,,,
2018,2,52,UTA,Vince Edwards,F,Purdue University,2,8.0,1.5,1.0,0.0,0.0,0.0,.250,.250,,0.0,-0.016
2018,2,53,OKC,Devon Hall,G,University of Virginia,,,,,,,,,,,,
2018,2,54,DAL,Shake Milton,G,Southern Methodist University,16,11.4,4.4,1.4,0.8,0.3,0.3,.459,.355,.800,0.4,.106
2018,2,55,CHO,Arnoldas Kulboka,F,,,,,,,,,,,,,
2018,2,56,PHI,Ray Spalding,F,University of Louisville,11,6.9,2.0,2.2,0.3,0.2,0.3,.500,.000,.286,0.0,-0.022
2018,2,57,OKC,Kevin Hervey,F,University of Texas at Arlington,,,,,,,,,,,,
2018,2,58,DEN,Thomas Welsh,C,"University of California, Los Angeles",11,3.3,1.6,0.4,0.5,0.0,0.0,.538,.429,.500,0.1,.164
2018,2,59,PHO,George King,G-F,University of Colorado,1,6.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,.001
2018,2,60,PHI,Kostas Antetokounmpo,F,University of Dayton,2,5.5,1.0,0.5,0.0,1.0,0.0,.000,,.500,-0.1,-0.247
2017,1,1,PHI,Markelle Fultz,G,University of Washington,33,20.6,7.7,3.4,3.4,0.9,0.3,.414,.267,.534,0.5,.038
2017,1,2,LAL,Lonzo Ball,G,"University of California, Los Angeles",99,32.4,10.0,6.2,6.4,1.6,0.6,.380,.315,.437,3.5,.052
2017,1,3,BOS,Jayson Tatum,F,Duke University,157,30.9,14.9,5.5,1.9,1.0,0.7,.462,.401,.840,12.0,.118
2017,1,4,PHO,Josh Jackson,F-G,University of Kansas,153,25.0,12.1,4.4,1.9,1.0,0.6,.415,.289,.652,-2.4,-0.030
2017,1,5,SAC,De'Aaron Fox,G,University of Kentucky,150,29.9,14.5,3.3,5.9,1.3,0.4,.436,.344,.724,4.6,.050
2017,1,6,ORL,Jonathan Isaac,F,Florida State University,100,24.9,8.4,5.0,1.0,0.9,1.3,.416,.322,.806,3.9,.076
2017,1,7,MIN,Lauri Markkanen,F-C,University of Arizona,120,30.9,16.7,8.2,1.3,0.6,0.6,.432,.362,.859,6.1,.079
2017,1,8,NYK,Frank Ntilikina,G,,121,21.6,5.9,2.2,3.1,0.8,0.3,.354,.305,.735,-1.8,-0.033
2017,1,9,DAL,Dennis Smith,G,North Carolina State University,120,29.1,14.4,3.4,5.0,1.1,0.3,.406,.315,.671,-0.6,-0.008
2017,1,10,SAC,Zach Collins,C-F,Gonzaga University,139,16.8,5.6,3.8,0.9,0.3,0.7,.440,.319,.720,3.5,.072
2017,1,11,CHO,Malik Monk,G,University of Kentucky,132,15.4,8.0,1.4,1.5,0.4,0.2,.375,.336,.871,0.2,.006
2017,1,12,DET,Luke Kennard,G,Duke University,132,21.3,8.5,2.6,1.7,0.5,0.2,.439,.401,.841,4.9,.083
2017,1,13,DEN,Donovan Mitchell,G,University of Louisville,153,33.5,21.9,3.9,3.9,1.4,0.4,.434,.349,.803,9.7,.091
2017,1,14,MIA,Bam Adebayo,C-F,University of Kentucky,147,21.6,7.9,6.4,1.9,0.7,0.7,.548,.100,.729,10.7,.162
